"","x"
"1",1921
"2",1928
"3",2002
"4",2008
"5",1915
"6",1940
"7",1992
"8",1988
"9",1990
"10",1997
"11",1929
"12",1932
"13",2007
"14",2001
"15",1943
"16",1958
"17",1926
"18",1936
"19",1931
"20",1934
"21",2013
"22",1917
"23",1939
"24",1959
"25",2014
"26",1963
"27",1982
"28",1983
"29",1962
"30",1975
"31",1965
"32",1948
"33",1998
"34",1972
"35",1964
"36",1971
"37",1985
"38",1961
"39",2010
"40",1980
"41",1954
"42",1946
"43",1973
"44",2011
"45",1922
"46",1989
"47",1957
"48",1978
"49",1977
"50",1949
