"b.day","b.temp","b.precip","emerge","Wi","Ws","Wp","Wnum","gen"
"1",12.8370596794412,2.36495725112036,3.33252694923431,4,0.0146660050398321,0.666379646568216,0.143064172441565,7,1
"2",44.4492771057412,3.05771693587303,7.02769117197022,1,0.014050635166253,0,1e-05,0,1
"3",62.7050934126601,3.11559349996969,8.52000575046986,1,0.014050635166253,0,1e-05,0,1
"4",80.2621138980612,4.6330123860389,4.01247294386849,1,0.014050635166253,0,1e-05,0,1
"5",68.7788247596473,0.558417607098818,8.6732876021415,2,0.0142542588718523,0.2205026583134,0.0473461175849773,1,1
"6",98.6535693984479,7.40084316814318,8.25452209683135,1,0.014050635166253,0,1e-05,0,1
"7",93.8299586065114,4.35507942456752,5.22253478178754,1,0.014050635166253,0,1e-05,0,1
"8",43.2673800271004,7.13847370352596,0.00310615170747042,1,0.014050635166253,0,1e-05,0,1
"9",85.6727580539882,6.14712097914889,0.817772403825074,1,0.014050635166253,0,1e-05,0,1
"10",72.8502863319591,5.82440618658438,9.72840244183317,1,0.014050635166253,0,1e-05,0,1
"11",50.8155090268701,2.73572106845677,0.51554030040279,1,0.014050635166253,0,1e-05,0,1
"12",75.3594983601943,2.77588200056925,4.88251230213791,1,0.014050635166253,0,1e-05,0,1
"13",66.7129056993872,4.57659577718005,4.16281619574875,1,0.014050635166253,0,1e-05,0,1
"14",89.7992809303105,9.97621081303805,5.8520735334605,1,0.014050635166253,0,1e-05,0,1
"15",11.9816733989865,5.43964922428131,4.83355519827455,1,0.014050635166253,0,1e-05,0,1
"16",11.5784013876691,4.45073850220069,9.99188675777987,1,0.014050635166253,0,1e-05,0,1
"17",22.5991593440995,2.0367417181842,7.51958429347724,3,0.0144593886999686,0.442636285957058,0.0950323613615618,6,1
"18",87.5019091181457,6.03500165976584,4.4316591671668,1,0.014050635166253,0,1e-05,0,1
"19",40.7474812120199,7.82043235376477,7.27337678428739,1,0.014050635166253,0,1e-05,0,1
"20",48.5894327517599,2.03659935155883,1.05715615907684,2,0.0142542588718523,0.2205026583134,0.0473461175849773,3,1
"21",9.18998876586556,5.88832043576986,2.1974000101909,1,0.014050635166253,0,1e-05,0,1
