"b.const","b.day","b.temp","b.precip","emerge","Wi","Ws","Wp","Wnum","gen"
"1",0.23661779332906,0.304806226864457,0.0988047430291772,0.20886123389937,313,2.63183027200983,0.548236566545969,0.0277348102053633,1,1
"2",1.57916289637797,0.475546911591664,4.06939067528583,0.719852985115722,43,3.36304247901502,0.727302147381099,0.0367903157041028,4,1
"3",0.985385925276205,0.505536823067814,3.43130022403784,0.0415300012100488,58,2.22692215558899,0.449079158672933,0.0227203320010803,0,1
"4",0.163842366077006,0.147841196274385,3.40930073987693,0.329531299881637,116,1.48938428630008,0.268464494849104,0.0135864879994484,0,1
"5",0.817288243677467,0.863669594051316,1.01444579428062,0.185299672186375,91,1.96545395825855,0.385048561021058,0.0194822477951714,2,1
"6",1.59856826718897,0.743452552007511,1.75208020606078,0.512862159870565,90,1.96545395825855,0.385048561021058,0.0194822477951714,1,1
"7",2.95555815822445,0.0956307877786458,2.5324734323658,0.220557813765481,150,0.44309272779318,0.0122395524151203,0.000628965038843962,0,1
"8",2.81990383006632,0.865655987523496,1.78160643437877,0.47183111589402,71,2.53030253856971,0.523373575494728,0.0264774666604476,2,1
"9",0.622613034211099,0.321731777628884,4.17335789185017,0.319548073224723,58,2.22692215558899,0.449079158672933,0.0227203320010803,2,1
"10",0.435944934608415,0.272483883425593,3.50234902813099,0.536921305814758,92,1.97835568035373,0.388208046514618,0.0196420257833625,3,1
"11",2.87191235460341,0.389495522482321,0.79375229193829,0.801928912289441,173,0.393112658522045,0,1e-05,0,1
"12",1.68067333032377,0.978777621174231,1.0733159375377,0.767536112805828,79,3.04746419622612,0.650020603165651,0.0328821193587738,0,1
"13",1.42290511890315,0.89531457121484,2.19688249286264,0.0149021225515753,59,2.25295949006827,0.455455406740546,0.0230427845303062,0,1
"14",1.03982990817167,0.171290539670736,4.72608565469272,0.0418320850003511,57,2.24583827689339,0.453711502356572,0.022954593736382,2,1
"15",1.21155189187266,0.877450715517625,2.02991714817472,0.708406721940264,61,2.29081376822225,0.464725490363054,0.0235115808943304,2,1
"16",1.00170337222517,0.344469036441296,1.08286664471962,0.19376466376707,173,0.393112658522045,0,1e-05,0,1
