month,precip,tmean,tmax,tmin
0,89.92,7.83,12.39,3.22
1,99.57,7.78,12.17,3.39
2,98.3,10.22,15.61,4.89
3,70.36,12.61,18.78,6.5
4,29.72,15.22,22.5,7.94
5,14.22,19.11,27.33,10.83
6,5.08,22.33,31.44,13.28
7,0,24.11,34.11,14.06
8,1.27,23.5,33.61,13.39
9,6.6,22.06,31.61,12.44
10,22.86,17.89,26.17,9.56
11,59.94,11.94,18.06,5.83
12,89.92,7.83,12.39,3.22
